phrase,prompt,Care
I feel like there is something swollen and inflamed at the back of my knee.,Knee pain,PCP
I feel strong pain in my knee after it was hit during the football match.,Injury from sports,Emergencey
There's swelling in my neck and it hurts.,Neck pain,PCP
It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.,Head ache,PCP
I think there's fluid in my ears.,Ear ache,PCP
Feels like there are pins and needles sticking in my joints,Joint pain,PCP
The wound is still open,Open wound,Emergencey
When I force my eyes to view I have blurry vision.,Blurry vision,PCP
My heart is pumping fast and I'm having a hard time to breath.,Hard to breath,Emergencey
"My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep.",Heart hurts,Emergencey
When i'm doing sport I have pain under my skin,Muscle pain,PCP
I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate.,Internal pain,PCP
My acne itches and oozes.,Acne,Pharmacy
I had a cut that was stitched together but it is not healing.  It is oozing green puss and burns.,Infected wound,PCP
When I stand up too quick my vision is blurry.,Blurry vision,PCP
When I was young I had an injury from sports in my knee.,Injury from sports,Emergencey
I m feeling cold though the temperature is high,Feeling cold,Pharmacy
I feel pain in my knee when I climb the stairs.,Joint pain,PCP
My biceps started aching after I went to the gym,Muscle pain,PCP
I feel cold although we are in summer.,Feeling cold,Pharmacy
Chronic disease of hair follicles and sebaceous glands,Acne,Pharmacy
I have a split on my thumb that will not heal.,Open wound,Emergencey
I feel lightheaded when I stand up,Feeling dizzy,PCP
"I have a blurry vision since I woke up this morning, what could be the reason?",Blurry vision,PCP
I tried alot of cream but i still feel the same skin problem,Skin issue,Pharmacy
"I have a blurry vision during my swimming training in the pool, why?",Blurry vision,PCP
"Annoyance starts suddenly, often after an injury or exercise.",Knee pain,PCP
I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.,Open wound,Emergencey
"I have a foot ache in winter, or when it feels cold, why?",Foot ache,PCP
glass broken and wound my leg badly the wound is so wide,Open wound,Emergencey
My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound,PCP
My knee catches and hurts when I first stand up after sitting.,Knee pain,PCP
i have a hard pain in my stomach,Stomach ache,PCP
i have severe dry cough,Cough,PCP
The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.,Head ache,PCP
"I hardly have enough stength to get up,",Body feels weak,PCP
Sterilizer for the eye,Blurry vision,PCP
My shoulder aches when I try to lift five pounds.,Shoulder pain,PCP
i have a hard pain in my stomach,Stomach ache,PCP
I have shooting pain in my kneecap after working out.,Knee pain,PCP
My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.,Infected wound,PCP
I have shoulder pain when I try to carry my groceries.,Shoulder pain,PCP
I feel weak all over.,Body feels weak,PCP
The crushing sensation on my heart leaves me breathless.,Heart hurts,Emergencey
I'm not good i'm feeling so cold,Feeling cold,Pharmacy
My head hurts when I'm doing this.,Head ache,PCP
When I force my eyes to view I have blurry vision.,Blurry vision,PCP
It is like I have a needle pushing through my heart.,Heart hurts,Emergencey
When I bend over I get a shooting pain down my back,Back pain,PCP
When I play football I have joint pain.,Joint pain,PCP
i can't breath because of  Cough,Cough,PCP
There is pain in my joints. I can not bear pain,Joint pain,PCP
My right shoulder clicks when I move my arm.,Shoulder pain,PCP
i have a strong shoulder pain,Shoulder pain,PCP
I broke my ankle while doing rock climbing in the Carpathians.,Injury from sports,Emergencey
I've been feeling very sad lately,Emotional pain,PCP
Feels like there are pins and needles sticking in my joints,Joint pain,PCP
I feel pain in my ears with tinnitus,Ear ache,PCP
i feel pain in my knee,Knee pain,PCP
My son has a lot of acne.,Acne,Pharmacy
When I go to sleep I am feeling cold,Feeling cold,Pharmacy
I can't get a girlfriend because of my acne.,Acne,Pharmacy
When I play football I have muscle pain.,Muscle pain,PCP
I think I overdid it when I carried all that lumber from the yard. My lower back is killing me.,Back pain,PCP
I feel suicidal.,Emotional pain,PCP
I have a hair shortage,Hair falling out,Pharmacy
I have pimples in patches along with a lot of redness on my face.,Acne,Pharmacy
My television and computer seem out of focus even though I have new glasses.,Blurry vision,PCP
The acne was causing me to feel embarrassed.,Acne,Pharmacy
i am having problems seeing things feel like a cloud on my eyes everything is blurry,Blurry vision,PCP
I have a break in the skin inside one of my nostrils that has become infected and is now filled with pus.,Infected wound,PCP
I get terrible headaches every few months and when I get them my vision is affected.,Head ache,PCP
I have a mental suffering,Emotional pain,PCP
I have a dry skin,Skin issue,Pharmacy
my heart hurts me,Heart hurts,Emergencey
I hve cut my finger because of playing football and I  to apply pain relief cream but it does not help,Injury from sports,Emergencey
I fell a stiffness in my elbows and shoulders,Joint pain,PCP
I am having running nose,Feeling cold,Pharmacy
i'm disappointed,Emotional pain,PCP
I got injured exercising,Injury from sports,Emergencey
I have an ear ache that won't go away.  I don't have a cold or headache or any other symptoms.  Just an earache.,Ear ache,PCP
I'm suffering from sharp cough Accompanied by  phlegm,Cough,PCP
I travelled by plane a few days ago and this time during landing my ears remained clogged and painful.,Ear ache,PCP
I've had this cough for two weeks.,Cough,PCP
I feel increased heart rate with prick,Heart hurts,Emergencey
My kneecap feels like it is grating bone on bone when I walk.,Knee pain,PCP
I have a cold and it makes me cough alot,Cough,PCP
I feel pain in my heart when I wake up,Heart hurts,Emergencey
I feel a soreness in my knees when I walk,Joint pain,PCP
My wound was infected when i was planting some flowers in my garden,Infected wound,PCP
Feel like something is being jabbed into my joints,Joint pain,PCP
"I have a foot ache in winter, or when it feels cold, why?",Foot ache,PCP
I can't move my head up and down.,Neck pain,PCP
i feel dizzy after severe diarrhea,Feeling dizzy,PCP
I feel a sharp pain in my stomach,Internal pain,PCP
"Had I stepped on a needle it wouldn't have hurt so much, like this damned spur in my heel.",Foot ache,PCP
i have pain but i can't specify place,Internal pain,PCP
I feel pain in my neck while I'm working.,Neck pain,PCP
I could not exercise because of my knee pain,Knee pain,PCP
i feel that it's hard to breath for me specially after running or making any effort,Hard to breath,Emergencey
I am having running nose,Feeling cold,Pharmacy
I have a headache every time I eat ice cream,Head ache,PCP
Sharp pain and heavy breathing,Internal pain,PCP
There is a sharp pain in my calve.,Muscle pain,PCP
I feel dizzy when i make sudden movements,Feeling dizzy,PCP
When I wake up in the morning I feel a soreness in my body,Muscle pain,PCP
"i was injured during football match, i was diagnosed with Cruciate ligament",Injury from sports,Emergencey
I have a sharp pain in my ear,Ear ache,PCP
standing less than five minutes and my back start to ache,Back pain,PCP
Need to scratch my skin every minute,Skin issue,Pharmacy
i can't breath because of  Cough,Cough,PCP
I wake up at night feeling cold,Feeling cold,Pharmacy
I used alot of pain killer to get better but i still feel the same back pain,Back pain,PCP
I feel cold and chills even though my clothes are heavy,Feeling cold,Pharmacy
"When I stand up, I feel like I'm going to fall down instantly",Feeling dizzy,PCP
My head ache since I woke up this morning.,Head ache,PCP
I feel a sharp pain in my head when I think too hard.,Head ache,PCP
My knee hurts when I walk,Knee pain,PCP
I have a cut on my foot that became infected from using the showers at the gym.,Infected wound,PCP
I had a pain in my knee when I was swimming,Knee pain,PCP
I wake up with a stiff neck every morning.  Massage helps but then a couple of days later it's back again.,Neck pain,PCP
i'm injured i can't play sports,Injury from sports,Emergencey
My lungs feel heavy like they are filled with mucus,Cough,PCP
I can't stop coughing,Cough,PCP
The knee feels like it rusted and I suddenly cannot bend it anymore.,Knee pain,PCP
He was discovered to have an open wound.,Open wound,Emergencey
My knee hurts when I play squash,Knee pain,PCP
I can't do anything I feel a weak in my body,Body feels weak,PCP
My shoulder hurts me so much,Shoulder pain,PCP
I feel pain inside I do not know what it is,Internal pain,PCP
Every time I look to left I feel a sharp pain in my neck.,Neck pain,PCP
I suffered a deep wound in my hand and I can not stop the bleeding,Infected wound,PCP
I don't do anything at home and still I feel exhausted.,Body feels weak,PCP
when i raise my hand i feel pain in my shoulder.,Shoulder pain,PCP
I have shooting pain in my kneecap after working out.,Knee pain,PCP
I feel a soreness in my knees when I walk,Joint pain,PCP
I can't really jump on my left foot because my triple fracture of the ankle left me with neverending pains.,Foot ache,PCP
I felt my heart hurts when I ran for along distance,Heart hurts,Emergencey
"My head hurts and I lose the sensation in my face, then lose sight in my eye",Head ache,PCP
I get i joint pain when i try to bend my leg or my arm,Joint pain,PCP
I feel great pain in my feet after playing one of the sports games,Injury from sports,Emergencey
My biceps started aching after I went to the gym,Muscle pain,PCP
My chest break out with red pimples and whiteheads.,Acne,Pharmacy
I have a cold and it makes me cough alot,Cough,PCP
I have blurred vision.,Blurry vision,PCP
Why is my shoulder aching when I try to pick up the laundry?,Shoulder pain,PCP
I feel pain in my heart when I wake up,Heart hurts,Emergencey
there is a red stain in my skin,Skin issue,Pharmacy
I read a book for along time and when I finished reading I feel head ache,Head ache,PCP
I feel a huge emotional pain after I broke up with my girlfriend.,Emotional pain,PCP
My arm hurts when I stretch,Muscle pain,PCP
His infected wound was beginning to rot.,Infected wound,PCP
I have a dry throat,Cough,PCP
I feel pain in the knee,Knee pain,PCP
My back is hurting so much.,Back pain,PCP
"my child has cough all night, she can't sleep",Cough,PCP
"My heart hurts while I'm sad, why?",Heart hurts,Emergencey
My back hurts a lot when I bend,Back pain,PCP
I get big patches of irritated pimples on my back and they hurt.,Acne,Pharmacy
longitudinal burning line across back with hard respiratory movements,Back pain,PCP
My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound,PCP
My chest hurts when I go to take a breath,Hard to breath,Emergencey
i feel sad,Emotional pain,PCP
I just can't seem to get warm.  Even when everyone around me is warm I always feel cold.,Feeling cold,Pharmacy
I'm not feeling good I get infection wound,Infected wound,PCP
having difficulty moving my knee,Knee pain,PCP
My hair always falls out and i have lost a lot of hair lately,Hair falling out,Pharmacy
